Well Name,Ogrid Name,Well Spud Date,Well Status,Well API,Well Latitude,Well Longitude,Well Cluster,Facility Name,Facility Latitude,Facility Longitude,Facility Industry,Facility AI Number,Facility NOI Number,Date NOI Sent to NMED,Date NMED Received NOI,Date NMED Send Complete NOI To Company,Google Drive Link to NOI,Facility NO_TPY,Facility CO_TPY,Facility VOC_TPY,Facility PM10_TPY,Facility SO2_TPY,Potential Violation
W LYBROOK UNIT #752H,"ENDURING RESOURCES, LLC",2/23/2017,Active,30-045-35805,36.228667,-107.740836,8,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",36.228617,-107.740811,O&G-Tank Battery/Bulk Fuel Storage,36658,6779,1/21/2016,1/25/2016,2/24/2016,https://drive.google.com/file/d/19Jl6aQwt4UfMjxlo1wdGcJaGjbom3zO2/view?usp=sharing,21,24.5,27.2,2.9,,No
W LYBROOK UNIT #710H,"ENDURING RESOURCES, LLC",2/27/2017,Active,30-045-35803,36.228821,-107.740909,8,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",36.228617,-107.740811,O&G-Tank Battery/Bulk Fuel Storage,36658,6779,1/21/2016,1/25/2016,2/24/2016,https://drive.google.com/file/d/19Jl6aQwt4UfMjxlo1wdGcJaGjbom3zO2/view?usp=sharing,21,24.5,27.2,2.9,,No
W LYBROOK UNIT #714H,"ENDURING RESOURCES, LLC",2/22/2017,Active,30-045-35802,36.228616,-107.740812,8,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",36.228617,-107.740811,O&G-Tank Battery/Bulk Fuel Storage,36658,6779,1/21/2016,1/25/2016,2/24/2016,https://drive.google.com/file/d/19Jl6aQwt4UfMjxlo1wdGcJaGjbom3zO2/view?usp=sharing,21,24.5,27.2,2.9,,No
W LYBROOK UNIT #751H,"ENDURING RESOURCES, LLC",3/1/2017,Active,30-045-35806,36.22877,-107.740885,8,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",36.228617,-107.740811,O&G-Tank Battery/Bulk Fuel Storage,36658,6779,1/21/2016,1/25/2016,2/24/2016,https://drive.google.com/file/d/19Jl6aQwt4UfMjxlo1wdGcJaGjbom3zO2/view?usp=sharing,21,24.5,27.2,2.9,,No
W LYBROOK UNIT #712H,"ENDURING RESOURCES, LLC",2/24/2017,Active,30-045-35776,36.228719,-107.740861,8,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",36.228617,-107.740811,O&G-Tank Battery/Bulk Fuel Storage,36658,6779,1/21/2016,1/25/2016,2/24/2016,https://drive.google.com/file/d/19Jl6aQwt4UfMjxlo1wdGcJaGjbom3zO2/view?usp=sharing,21,24.5,27.2,2.9,,No
CHACO 2308 11A #407H,"ENDURING RESOURCES, LLC",11/22/2014,Active,30-045-35564,36.24789218,-107.6456697,9,"Enduring Resources - Chaco No407, 408 Well Site",36.2479,-107.6457,O&G-Production Facility,34655,5982,8/13/2014,8/19/2014,8/28/2014,https://drive.google.com/file/d/1I_u79yF3nwqMLoWLPm07nMuvBb5LUARz/view?usp=sharing,14.2,24.6,92.9,2.2,,No
CHACO 2308 11A #408H,"ENDURING RESOURCES, LLC",11/24/2014,Active,30-045-35563,36.24774921,-107.6457156,9,"Enduring Resources - Chaco No407, 408 Well Site",36.2479,-107.6457,O&G-Production Facility,34655,5982,8/13/2014,8/19/2014,8/28/2014,https://drive.google.com/file/d/1I_u79yF3nwqMLoWLPm07nMuvBb5LUARz/view?usp=sharing,14.2,24.6,92.9,2.2,,No
CHACO 2308 14E #151H,"ENDURING RESOURCES, LLC",4/9/2014,Active,30-045-35503,36.230381,-107.6590347,0,Enduring Resources - Chaco 2308-14E No151H,36.230389,-107.659028,O&G-Production Facility,33314,5476,1/6/2014,1/7/2014,2/6/2014,https://drive.google.com/file/d/1SP9CGSd0zB0wDns0RyuF_Mnr6Jtoo8dO/view?usp=sharing,14.1,24.3,92.5,1.45,,No
CHACO 2308 14E #152H,"ENDURING RESOURCES, LLC",4/14/2014,Active,30-045-35504,36.2303429,-107.6590881,0,Enduring Resources - Chaco 2308-14E No151H,36.230389,-107.659028,O&G-Production Facility,33314,5476,1/6/2014,1/7/2014,2/6/2014,https://drive.google.com/file/d/1SP9CGSd0zB0wDns0RyuF_Mnr6Jtoo8dO/view?usp=sharing,14.1,24.3,92.5,1.45,,No
NW LYBROOK UNIT #133H,"ENDURING RESOURCES, LLC",2/25/2015,Active,30-045-35623,36.265554,-107.632825,25,Enduring Resources - Chaco 2408-360 No134H,36.265519,-107.632761,O&G-Production Facility,34075,5703,5/19/2014,5/20/2014,5/28/2014,https://drive.google.com/file/d/1bvmT34sRo36juLjsupfnVKNXhJivH9kk/view?usp=sharing,15.1,24.8,47.7,,,No
