AI,Industry,Status,Facility,sic,Facility Name,Physical Address,Municipality,County,State,Zip,Latitude,Longitude,NO_tpy,CO_tpy,VOC_tpy,PM10_tpy,SO2_tpy
32111,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Black Raider BQK State No 1H,14 mi NW of Jal,Jal,Lea,NM,88252    ,32.167611,-103.430028,0.21,0.18,26.01,,
32116,O&G-Compressor Station,Active,Minor,,EOG - Red Hills Enterprise Compressor Station,19.2 mi NW of Jal,Jal,Lea,NM,88252    ,32.135833,-103.528611,39.2,27.3,54.1,2.5,3.0
32117,O&G-Compressor Station,Active,Synthetic Minor,,EOG - Ross Draw Compressor Station,23.4 mi SE of Loving,Loving,Eddy,NM,88256    ,32.054444,-103.802778,70.8,78.2,98.6,6.2,49.9
32120,O&G-Well Head,Active,Notice of Intent,,Hilcorp - San Juan 28-7 Unit 238P,8.9 mi S of Navajo City,Navajo City,Rio Arriba,NM,87412    ,36.62675,-107.602278,,,,,
32122,O&G-Loading/Unloading Rack,Active,Notice of Intent,,Pacer Energy - Carbon Rail Loading Facility,10.0 mi s of Eunice,Eunice,Lea,NM,88231    ,32.298975,-103.190739,,,,,
32123,O&G-Well Head,Active,Notice of Intent,,Hilcorp - Tommy Bolack 1P,0.9 mi W of Aztec,Aztec,San Juan,NM,87413    ,36.839,-108.053361,,,,,
32124,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - Nash 42,9.5 mi E of Loving,Loving,Eddy,NM,88256    ,32.306389,-103.927222,11.6,23.1,95.2,0.5,0.1
32125,O&G-Production Facility,Active,Notice of Intent,,Hilcorp - Chacon Federal 3,7.6 mi W of Lindreth,Lindrith,Rio Arriba,NM,87029    ,36.27625,-107.176556,,,,,
32126,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Oxy USA - NBR No2 Tank Battery,21.7 mi SW of Oil Center,Oil Center,Lea,NM,88231    ,32.393611,-103.613833,,,,,
32127,O&G-Well Head,Active,Notice of Intent,,XTO - Nash Draw 19-24-30 Facility,9.4 mi E of Magala,Malaga,Eddy,NM,88263    ,32.206444,-103.912639,,,,,
32152,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Vaca 24 Fed Com No 6H,18.6 mi W of Jal,Jal,Lea,NM,88252    ,32.108775,-103.521289,,,,,
32153,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Vaca 24 Fed Com 2H,19 mi w of Jal,Jal,Lea,NM,88252    ,32.108775,-103.532739,,,,,
32154,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Antares 23 Fed Com 3H & 4H,14 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.644556,-103.847944,,,,,
32155,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Catena - Ironhouse 20 State 1H,19 mi NW of Hobbs,Hobbs,Lea,NM,88240    ,32.726503,-103.477458,,,,,
32156,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Agasti 27 Fed 1H,14 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.639889,-103.865361,,,,,
32158,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy -Mimosa 24 Fed Com 3H & 4H,15 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.643,-103.813556,,,,,
32162,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Vanguard 30 State Com 1H,19.45 mi NW of Jal,Jal,Eddy,NM,88252    ,32.181675,-103.515464,12.8,18.6,78.6,,
32166,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Vaca 24 Fed Com 4H,19 mi W of Jal,Jal,Lea,NM,88252    ,32.108772,-103.527056,,,,,
32167,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,"EOG - Vaca 14 Fed No 3H, 4H & 6H",20.4 mi NW of Jal,Jal,Lea,NM,88252    ,32.135967,-103.541,23.3,6.7,33.2,,
32172,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Exemption,,NMGC - Multiple Emergency Generators,Not On File,Albuquerque,Eddy,NM,87199    ,,,,,,,
32173,O&G-Production Facility,Active,Notice of Intent,,Long Nose Federal Com No1,7.4 mi W Cty Rd 720,Malaga,Eddy,NM,88263    ,32.2273,-104.2004,1.8,3.7,3.6,,
32174,O&G-Production Facility,Active,Notice of Intent,,DJR - Lybrook D22-2206,36 mi SE of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.127583,-107.464639,7.2,13.7,63.4,,
32175,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Diamond 8 Fed Com No 4H,17 mi NW of Jal,Jal,Lea,NM,88252    ,32.150139,-103.498611,,,13.0,,
32182,O&G-Production Facility,Active,Notice of Intent,,EOG - Diamond 8 Fed Com No 5H,17 mi NW of Jal,Jal,Lea,NM,88252    ,32.151264,-103.495783,,,,,
32186,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG Operating LLC - Superfortress 29 Fed No 3H Battery,13.43 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.637972,-103.892833,,,,,
32187,O&G-Production Facility,Active,Notice of Intent,,Hunt Oil - Elk Com 34-1H,2.5 mi SE of Ojito,Ojito,Rio Arriba,NM,87029    ,36.419361,-107.046889,,,,,
32190,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Oxy USA Inc - Riverbend B-11 Tank Battery,6.55 mi E of Malaga,Malaga,Eddy,NM,88263    ,32.203694,-103.962139,,,,,
32191,O&G-Loading/Unloading Rack,Active,No Permit Required,,LogiBio NM - Eunice Transload Operations,SE of Eunice,Eunice,Lea,NM,88231    ,32.426172,-103.142739,,,,,
32203,O&G-Compressor Station,Active,Notice of Intent,,EOG - Portable Ajax DPC 140 Units,Portable Source,Portable Source,Portable Source,NM,77777    ,,,,,,,
32204,O&G-Production Facility,Active,Notice of Intent,,Devon Energy - Cotton Draw Unit No167H,32 mi NW of Jal,Jal,Lea,NM,88252    ,32.167528,-103.732861,6.98,13.96,4.9,,
32206,O&G-Tank Battery/Bulk Fuel Storage,Active,Minor,,Chevron - Salado Draw 29 Tank Battery,23.3 mi E of Bennett,Bennett,Lea,NM,88252    ,32.024506,-103.64845,14.9,13.7,80.4,0.72,0.63
32207,O&G-Tank Battery/Bulk Fuel Storage,Active,No Permit Required,,NGL Energy Crude Terminals - Empire Abo Station ,11.85 mi SE of Artesia,Artesia,Eddy,NM,88210    ,,,,,,,
32208,METAL-Coating,Active,Notice of Exemption,,KGM - Belen Meter Shop,Belen NM,Belen,Valencia,NM,87002    ,,,,,,,
32209,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No411 Battery,20.0 mi SE of Loving,Loving,Eddy,NM,88256    ,32.192778,-103.780144,,,,,
32216,O&G-Production Facility,Active,Notice of Intent,,DJR - North Alamito Unit 242H and 243H,51.0 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.198083,-107.536972,9.39,16.46,19.26,,
32220,ENGR-Generator,Active,Notice of Exemption,,SW Public Service - Multiple Emergency Generators Various Sites,Various Locations,Portable Source,Portable Source,NM,77777    ,,,,,,,
32225,O&G-Production Facility,Active,Notice of Intent,,XTO - PLU No422,11.5 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.127278,-103.913028,,,,,
32230,O&G-Production Facility,Active,Notice of Intent,,Devon Energy - Burton Flat Deep Unit 14,5 mi NE of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.510639,-104.166281,,,,,
32233,CON-Concrete Batch Plant,Active,Synthetic Minor,,St.Cloud Zeolite Operations GCP5-5022,2.5 mi S of Chloride,Chloride,Sierra,NM,87943    ,33.2985,-107.672111,95,95,95,,50
32234,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - Poker Lake Unit No421 Production Battery,20 mi SE of Loving,Loving,Eddy,NM,88256    ,32.095389,-103.863028,6.5,13.9,40.4,,
32235,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No261 Battery,11.2 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.2012,-103.883889,,,,,
32237,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - JRU No17 Battery,16.5 mi NE of Loving,Loving,Eddy,NM,88256    ,32.335417,-103.819194,,,,,
32238,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No42 Battery,13.2 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.146694,-103.866556,,,,,
32242,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU 68 Battery,18.2 mi SE of Loving,Loving,Eddy,NM,88256    ,32.207889,-103.798306,,,,,
32243,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - Hat Mesa 31/32 Battery,31.8 mi NE of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.534861,-103.700861,,,,,
32244,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - Poker Lake Unit (PLU) 158 Battery,11.2 miles SE of Loving,Loving,Eddy,NM,88256    ,32.237222,-103.913889,40.8,79.2,94.1,1.8,0.3
32255,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,"EOG - Diamond 31 Fed Com 2H, 3H, 4H",19.3 mi NW of Jal,Jal,Lea,NM,88252    ,32.181036,-103.515642,,,,,
32256,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Trionyx 6 Fed 8H,22 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.152661,-103.707911,,,64.9,,
32257,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,OXY - Red Tank 28 Federal 1 Battery,25.4 mi NE of Loving,Loving,Eddy,NM,88256    ,32.368842,-103.672097,,,,,
32264,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Oxy USA - Cabin Lake 31 Federal No 6H Battery,24.04 mi NE of Loving,Loving,Eddy,NM,88256    ,32.429206,-103.721367,,,,,
32266,MINING-Rock Crusher,Active,Synthetic Minor,,Ramirez & Sons Inc -  Crusher No2 GCP2-5037,6.2 mi S of Artesia,Artesia,Eddy,NM,88210    ,32.750356,-104.436494,95,95,95,,50
32269,O&G-Compressor Station,Active,No Permit Required,,Exterran Energy - G3306TA-EICS Portable Gas Compressor Unit,Not On File,Portable Source,Portable Source,NM,77777    ,,,,,,,
32270,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,OXY USA - FNR 26 Federal 1 Battery,12.9 mi NE of Malaga,Malaga,Eddy,NM,88263    ,32.270472,-103.858139,0.8,3.0,46.8,,
32271,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,OXY USA - Federal 12 1H Central Tank Battery,15.7 mi E of Loving,Loving,Eddy,NM,88256    ,32.329833,-103.830444,0.355,0.298,67.5,,
32274,ENRG-Power Plant,Active,Major-Title V ,,La Luz Energy Center,3.9 mi SW of Belen,Belen,Valencia,NM,87002    ,34.616194,-106.815,53.7,66.7,9.6,35.0,3.5
32280,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - BEU No74 Battery,11 mi E of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.456583,-104.0378,,,,,
32281,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - Golden 8 Federal Battery,13.8 mi NE of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.491428,-104.007867,,,,,
32283,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Taylor Draw 7 Fed 1H,14 mi S of Maljamar,Maljamar,Lea,NM,88264    ,32.672272,-103.797664,0.62,0.71,72.22,,
32284,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - Hudson Federal Battery,15.5 mi NE of Loving,Loving,Eddy,NM,88256    ,32.335861,-103.836861,,,,,
32285,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - Legg Federal Tank Battery,15 mi NE of Loving,Loving,Eddy,NM,88256    ,32.435139,-103.866889,50.3,94.5,81.1,2.8,0.3
32288,O&G-Compressor Station,Active,Notice of Intent,,Spur - Burch Keeley Unit 13A Battery,2.94 mi NW of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.836388,-104.026485,,,,,
32289,O&G-Compressor Station,Active,Notice of Intent,,COG Operating - Birdseye 32 State No1H Battery,15.12 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.610278,-103.889858,3.62,7.01,4.99,,
32290,O&G-Compressor Station,Active,Notice of Intent,,COG Operating - Road Lizard 5 Federal Com No2H Battery,3.98 mi NE of Loving,Loving,Eddy,NM,88256    ,32.337243,-104.005611,,,,,
32294,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Chevron USA - Nereid Central Tank Facility,12.7 mi N of Maljamar,Maljamar,Lea,NM,88264    ,33.039528,-103.766306,,,,,
32302,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Apache 25 Federal No3 Battery,24 mi SE of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.368439,-103.826161,,,51.1,1.3,
32303,O&G-Production Facility,Active,Notice of Intent,,Chisholm - Daisy Duke 31 State Com 3H,6.5 mi SW of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.346333,-104.3243,0.94,0.79,12.54,0.07,
32309,O&G-Production Facility,Active,Notice of Intent,,Cimarex Energy Co - Laguna Deep Unit 7,31 mi SW of Hobbs,Hobbs,Lea,NM,88240    ,32.618556,-103.62225,0.21,0.18,13.17,,0.35
32315,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No227 Battery,9.7 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.181794,-103.914072,,,,,
32318,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - JRU No55 Battery,17.2 mi NE of Loving,Loving,Eddy,NM,88256    ,32.306083,-103.802306,,,,,
32319,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No274 Battery,7.9 mi E of Malaga,Malaga,Eddy,NM,88263    ,32.225806,-103.936972,,,,,
32324,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No442/ No443,9.1 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.197861,-103.919028,,,,,
32325,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No213 Battery,9.3 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.212764,-103.914317,,,,,
32326,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No423H Battery,12.0 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.112917,-103.914417,,,,,
32327,METAL-Coating,Active,Notice of Exemption,,SinBads House of Colors,636 NE Aztec Blvd,Farmington,San Juan,NM,87401    ,,,,,,,
32329,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Oxy USA Inc - Yeso Viking Federal Central Tank Battery,8.95 mi E of Artesia,Artesia,Eddy,NM,88210    ,32.818583,-104.251861,,,,,
32331,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Doc Holliday 32 St Com 1,9 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.180517,-104.220133,24.2,34.63,72.24,0.73,
32333,O&G-Production Facility,Active,Notice of Intent,,Devon Energy - Salado Draw 6 Fed 1H,18 mi SW of Jal,Jal,Lea,NM, 88252   ,32.065772,-103.514708,10.3,12.6,59.2,1.6,
32336,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Linn Operating - Langlie Mattix Queen Unit Tank Battery,3 mi E of Jal,Jal,Lea,NM,88252    ,32.1335,-103.14725,,,,,
32341,O&G-Well Head,Active,Notice of Intent,,DJR - Escrito I16-2409,65.6 mi SE of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.312917,-107.786694,7.4,14.5,27.3,,
32342,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Chevron - Neff 13 Federal Tank Battery,23 mi NE of Loving,Loving,Eddy,NM,88256    ,32.393303,-103.725056,,,70.8,,
32346,O&G-Well Head,Active,Notice of Intent,,EOG - Vaca 11 Fed Com No1H,20 mi W of Jal,Jal,Lea,NM,88252    ,32.138144,-103.547297,,,,,
32353,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No78 Battery,14.5 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.194153,-103.827878,,,,,
32355,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - JRU No124 Battery,17.1 mi E of Loving,Loving,Eddy,NM,88256    ,32.305,-103.803528,,,,,
32356,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No89 Tank Battery,16.8 mi SE of Loving,Loving,Eddy,NM,88256    ,32.19,-103.83225,,,,,
32358,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - JRU No7 Battery,16.8 mi NE of Loving,Loving,Eddy,NM,88256    ,32.335333,-103.814917,,,,,
32359,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - James Ranch Unit No19 Battery,15 mi ENE of Loving,Loving,Eddy,NM,88256    ,32.346444,-103.832111,13.11,25.43,94.20,1.76,0.13
32360,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No184 & No153 Battery,11.1 mi SE of Loving,Loving,Eddy,NM,88256    ,32.248944,-103.918528,,,,,
32362,O&G-Production Facility,Active,Notice of Intent,,Devon - Mizar 11 CTB1,12 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.681617,-103.848494,8.2,15.8,42.8,2.1,
32362,O&G-Production Facility,Active,Notice of Intent,,Devon - Mizar 11 CTB1,12 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.681617,-103.848494,8.2,15.8,42.8,2.1,
32364,O&G-Production Facility,Active,Notice of Intent,,Devon Energy - Josey Wales 16 St Com No3,7 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.2104,-104.193603,22.0,17.3,81.9,,
32365,O&G-Compressor Station,Active,Notice of Intent,,Centane - Portable Caterpillar G3306NA,Portable Source,Portable Source,Portable Source,NM,77777    ,,,,,,,
32368,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Chevron USA Inc - West Shugart Central Tank Facility ,9.6 mi S of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.684194,-103.935028,,,,,
32369,O&G-Well Head,Active,Notice of Intent,,DJR - Lybrook P01-2207,62 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.163361,-107.519111,9.2,18.3,,,43
32369,O&G-Well Head,Active,Notice of Intent,,DJR - Lybrook P01-2207,62 mi S of Bloomfield,Bloomfield,Sandoval,NM,87413    ,36.163361,-107.519111,9.2,18.3,,,43
32380,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Linn Operating - Seven Rivers Queen Unit Tank Battery,8 mi SW of Eunice,Eunice,Lea,NM,88231    ,32.345556,-103.245833,,,,,
32391,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Holly Energy Partners - Whites City Station,11.6 mi SW of Malaga,Malaga,Eddy,NM,88263    ,32.064302,-104.135221,,,22.2,,
32395,O&G-Well Head,Active,Notice of Intent,,Devon Energy - Monk 21 State Com 1H,19 mi NW of Eunice,Eunice,Lea,NM,88231    ,32.470717,-103.481956,,,76.1,,
32401,O&G-Compressor Station,Active,Notice of Intent,,DJR - Lybrook H03-2206 Wellhead Production Facility,57 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.168222,-107.447139,7.4,14.9,29.6,,
32404,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Energy - Shaula 30 Federal 4H,9 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.712947,-103.899725,14.5,12.7,61.8,,
32405,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Devon Erergy - Sargas 28 Federal 3H,9 mi SE of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.715242,-103.884161,14.5,12.7,61.8,,
32406,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Spur - Burch Keeley Unit 13B Battery,2.20 mi NW of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.828869,-104.022395,1.0,2.4,10.6,,1.0
32407,AQB-QGF-Solar Photovoltaic,Active,No Permit Required,,Macho Springs Solar Energy Project (50 MW),24 mi NE of Deming,Deming,Luna,NM,88031    ,32.5691,-107.489803,,,,,
32416,DIST-Chemical,Active,No Permit Required,,"Pacesetter Pressure Pumping - The 112 Business Park, LLC",3.9 mi NW of Center Carlsbad,Carlsbad,Eddy,NM,88220    ,32.467875,-104.273708,,,,,
32417,MINING-Rock Crusher,Active,Synthetic Minor,,AECOM - Fort Wingate GCP2-5103,6.94 mi SSW of Church Rock,Church Rock,McKinley,NM,87311    ,35.433981,-108.618939,87.1,36.3,6.4,1.7,
32430,O&G-Loading/Unloading Rack,Active,Minor,,Western Refining Terminal LLC - Jal Terminal,9.8 mi N of Jal,Jal,Lea,NM,88252    ,32.254389,-103.189361,,,94.1,2.0,
32433,O&G-Production Facility,Active,Notice of Intent,,Hilcorp - Canyon 19H Production Location,"19 miles S of Bloomfield, NM",Bloomfield,San Juan,NM,,36.427556,-107.965944,1.2,18.5,63.9,,
32434,O&G-Compressor Station,Active,Notice of Intent,,EOG - Red Hills North CS and Tank Battery,18.7 miles northwest of Jal,Jal,Lea,NM,88252    ,32.136389,-103.511944,21.1,6.2,22.4,,
32449,O&G-Compressor Station,Active,Synthetic Minor,,Bay Meadows Compressor Station,19.8 miles South of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.13695,-104.250881,56.7,78.7,80.0,2.2,
32450,CON-Asphalt Plant,Active,Synthetic Minor,,Fisher Sand and Gravel - HMA GCP3-5109,3.5 mi SE Raton,Raton,Colfax,NM,87740    ,32.773194,-104.444111,95,95,95,,50
32458,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,XTO - PLU No387 Battery,15.8 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.135667,-103.82475,2.4,2.1,103.8,,
32464,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,EOG - Endurance 25 Fed Com No1H,19.4 mi SW of Jal,Jal,Lea,NM,88252    ,32.020667,-103.523056,1.4,1.4,16.6,,
32489,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG Operating - Buena Vista 2 State No 3H Battery,15.26 mi S of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.595972,-103.944306,,,,,
32490,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Spur - Taylor D No3 Battery,.31 mi S of Maljamar,Maljamar,Lea,NM,88264    ,32.850611,-103.768056,1.4,2.8,42.7,,
32495,O&G-Compressor Station,Active,Notice of Intent,,Hilcorp - San Juan 31-6 Unit 212,9.1 mi NE of Navajo City,Navajo City,Rio Arriba,NM,87412    ,36.843333,-107.479722,7.5,10.2,1.9,,
32497,O&G-Compressor Station,Active,Notice of Intent,,DJR - Lybrook H32-2306,54.1 mi S of Bloomfield,Bloomfield,Sandoval,NM,87413    ,36.18443,-107.48303,2.88,9.32,37.02,,
32498,O&G-Compressor Station,Active,Notice of Intent,,DJR - Lybrook A32-2306,54.1 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.187806,-107.482972,2.17,3.94,38.09,0.12,
32499,O&G-Compressor Station,Active,Notice of Intent,,Hilcorp - Portable Cummins GTA8.3 SLB,Not On File,Portable Source,Portable Source,NM,77777    ,,,10,16.9,6.9,,
32508,O&G-Compressor Station,Active,Notice of Intent,,Hilcorp - Martin Gas Com 1 Production Location,9.7 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.580833,-107.870556,11.3,18.6,63.9,,
32509,O&G-Production Facility,Active,Notice of Intent,,DJR - Lybrook I32-2306,54.1 mi S of Bloomfield,Bloomfield,San Juan,NM,87413    ,36.178778,-107.483111,8.23,15.5,40.5236,,
32516,O&G-Compressor Station,Active,Notice of Intent,,Archrock- F3524 GSI Portable Gas Compressor Units,Not On File ,Portable Source,Portable Source,NM,77777    ,,,81,162,34.8,,
32517,O&G-Compressor Station,Active,Notice of Intent,,Enduring Resources Inc - Chaco 2408-32P No114H,2.1 mi E of Nageezi,Nageezi,San Juan,NM,87034    ,36.2669,-107.69751,14.1,24.3,93.2,1.7,
32519,DIST-Chemical,Active,No Permit Required,,Baker Hughes - Raton Facility,1.2 mi S of Raton,Raton,Colfax,NM,87740    ,35.888,-104.427675,,,,,
32520,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Chevron - Getty 24 Federal Tank Battery,22 mi NE of Loving,Loving,Eddy,NM,88256    ,32.378769,-103.729378,,,45.5,,
32523,MINING-Rock Crusher,Active,Minor,,GM Emulstion LLC GCP2-5128,8.21 mi SW of Santa Fe,Santa Fe,Santa Fe,NM,87507    ,35.643064,-106.074225,95,95,95,,50
32531,O&G-Compressor Station,Active,Notice of Intent,,XTO - Poker Lake Unit No 302,17.2 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.1895,-103.780806,14.53,20.34,7.55,0.32,
32532,O&G-Tank Battery/Bulk Fuel Storage,Active,Synthetic Minor,,XTO - Poker Lake Unit No 428H Production Battery,12 mi SE of Malaga,Malaga,Eddy,NM,88263    ,32.179139,-103.869861,46.72,89.01,87.86,2.22,
32547,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,COG Operating - Lusk Deep Unit A No. 22H,15.05 mi SE of  Loco Hills,Loco Hills,Eddy,NM,88255    ,32.667944,-103.791417,,1.4,23.4,,
32548,O&G-Compressor Station,Active,Notice of Intent,,Spur - McIntyre DK Federal No 15,.68 mi NW of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.827778,-103.994389,1.3,2.3,34.3,,19.5
32549,CON-Asphalt Plant,Active,Synthetic Minor,,Russell Sand & Gravel - Facility No2 GCP3-5133,9.5 miles SW of Datil,Datil,Catron,NM,87821    ,34.044167,-107.944722,95,95,95,,50
32552,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Spur - Burch Keeley Unit 19A Battery,1.32 mi NW of Loco Hills,Loco Hills,Eddy,NM,88255    ,32.82348,-104.01237,1.0,2.4,10.6,,
32557,O&G-Compressor Station,Active,Notice of Intent,,Devon Energy - Bell Lake 24 1H Battery,26 mi NW of Jal,Jal,Lea,NM,88252    ,32.196442,-103.634739,9.3,18.3,25.0,1.0,
32560,O&G-Compressor Station,Active,Notice of Intent,,Hilcorp - Portable Cummins GTA8.3 163HP,Not On file,Portable Source,Portable Source,NM,77777    ,,,847.8,322,661.5,7.7,6.3
32567,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Enduring Resources - Chaco 2308-161 No147H,4.6 mi SE of Nageezi,Nageezi,San Juan,NM,87037    ,36.2239,-107.679039,14.1,24.4,93.6,,
32567,O&G-Tank Battery/Bulk Fuel Storage,Active,Notice of Intent,,Enduring Resources - Chaco 2308-161 No147H,4.6 mi SE of Nageezi,Nageezi,San Juan,NM,87037    ,36.2239,-107.679039,14.1,24.4,93.6,,
