AI,Industry,Status,Facility,sic,Facility Name,Physical Address,Municipality,County,State,Zip,Latitude,Longitude,NO_tpy,CO_tpy,VOC_tpy,PM10_tpy,SO2_tpy
85,MUNI-Emergency Services,Active,No Permit Required,1541,Grants (City of) - Grants Fire Station,unknown location,Grants,Cibola,NM,87020,,,,,,,
95,CON-Concrete Batch Plant,Active,Notice of Intent,3273,Lobo Concrete - 60 Cu Yd Concrete Batch Plant NOI 1844,Angel Fire,Angel Fire,Colfax,NM,87710,36.263224,-105.300543,,,,10.2,
96,O&G-Compressor Station,Active,No Permit Required,4922,El Paso Energy Raton - VPR A1 Compressor Station No2304,22 miles NW of Raton,Raton,Colfax,NM,87740,36.965817,-104.528225,36.60,18.10,3.20,,
97,O&G-Compressor Station,Active,Minor,4922,El Paso- VPR A Compressor Station,24 miles NW of Raton,Raton,Colfax,NM,87740,36.965817,-104.528225,38.1,15.8,2.9,,
98,O&G-Compressor Station,Active,Notice of Intent,1311,Van Bremmer Compressor,49.2 km E of Raton,Raton,Colfax,NM,87740,36.798751,-104.975981,5.5,10.9,2.5,,
103,CON-Asphalt Plant,Active,Synthetic Minor,2951,K Barnett and Sons - 175TPH Asphalt Plant No1704,2.5 miles Ssw of Clovis,Clovis,Curry,NM,88102,34.36825,-103.239667,23.5,7.6,4.7,7.3,9.3
104,CON-Concrete Batch Plant,Active,No Permit Required,3273,Clovis Concrete - 120 Cu Yd Concrete Batch Plant NOI 1040,Not on file,Clovis,Curry,NM,88101,34.420823,-103.25901,,,,1.1,
105,CON-Concrete Batch Plant,Active,Notice of Intent,3273,Clovis Concrete - 48 Cu Yd Concrete Batch Plant NOI 0964,Located near Cannon AFB,Clovis,Curry,NM,88101,34.385975,-103.346745,,,,1,
106,FED-Dept of Defense,Active,Major-Title V ,9711,Cannon Air Force Base,27 SOCES/CEIE,Cannon AFB,Curry,NM,881035136,34.380444,-103.314111,131.5,72.4,97.6,7.7,9.3
111,SOLW-Landfill/Municipal,Active,Major-Title V ,4953,Clovis Regional Solid Waste Facility Landfill,2.5 mi SE of Clovis,Clovis,Curry,NM,88101,34.383556,-103.172822,,,,,
122,ENRG-Power Plant,Active,Major-Title V ,4911,El Paso Electric - Rio Grande Generating Station,3501 Doniphan Rd,Sunland Park,Dona Ana,NM,88063,31.804833,-106.547389,3130.1,1108.1,78.6,111.4,1.7
123,O&G-Compressor Station,Active,Major-Title V ,4922,Afton Compressor Station,8 miles west of La Mesa,La Mesa,Dona Ana,NM,88044,32.114228,-106.852647,673.5,107.1,21.4,,5.4
124,FED-Dept of Defense,Active,Synthetic Minor,9661,NASA - White Sands Test Facility,12600 NASA Road,Las Cruces,Dona Ana,NM,88012    ,32.508333,-106.608333,9.6,90,44,0.5,2.7
125,FOOD-Processor,Active,Notice of Intent,2013,Tyson Prepared Foods,5701 McNutt Road,Santa Teresa,Dona Ana,NM,88008,31.862778,-106.643889,20.1,15.8,1.0,1.5,3.0
129,MFG-Nonmetallic Materials,Active,Synthetic Minor,0724,Mesa Farmers Coop - Cotton Gin No0961,18320 Stern Drive,Vado,Dona Ana,NM,88072,32.094799,-106.625492,,,,35.1,
130,METAL-Metal Fabrication,Active,No Permit Required,3316,Highland Co - Santa Teresa Plant,10000 Strauss Rd,Santa Teresa,Dona Ana,NM,88008,,,,,,,
131,CON-Concrete Batch Plant,Active,Notice of Intent,3273,Hydro Conduit - 30TPH Concrete Batch Plant NOI 1087,5511 Mcnutt Rd,Santa Teresa,Dona Ana,NM,88008,31.852135,-106.62756,,,,1.00,
133,MFG-Chemical,Active,Synthetic Minor,3086,FXI - Santa Teresa Plant,2 mi North,Santa Teresa,Dona Ana,NM,88008,31.8625,-106.69,4.5,13.0,38.6,10.0,0.7
135,FOOD-Processor,Active,Synthetic Minor,2022,Saputo - F and A Dairy Products,355 S Crawford Blvd,Las Cruces,Dona Ana,NM,88005    ,32.277222,-106.917678,54.3,43.5,2.8,29.5,8.8
136,O&G-Compressor Station,Active,No Permit Required,4922,Alamogordo Compressor Station,8 miles E of  Anthony,Anthony,Dona Ana,NM,88021,35.610377,-106.512481,,,,,
137,SOLW-Recycling,Active,No Permit Required,5093,"Tomra Pacific, Inc",2320 Wgate Court,Las Cruces,Dona Ana,NM,88005,32.272574,-106.879217,,,,,
138,AQB-QGF-Solar Photovoltaic,Active,Synthetic Minor,2099,OLAM Spices and Vegetables Ingredients,1650 W Amador Avenue,Las Cruces,Dona Ana,NM,88005,32.302944,-106.798306,38.7,33.0,2.1,4.8,0.5
139,AGS-Crop,Active,No Permit Required,2099,Sunland Products of California - Pecan Processing,2455 Entrada Del Sol,Las Cruces,Dona Ana,NM,88001,32.310556,-106.747778,,,,,
140,MFG-Nonmetallic Materials,Active,No Permit Required,0724,Four Points Gin,Union Ave and SR 28,Mesilla,Dona Ana,NM,88046,,,,,,,
141,FED-Dept of Defense,Active,Major-Title V ,9711,White Sands Missile Range,9 mi E of Organ,Organ,Dona Ana,NM,88001    ,32.381011,-106.480266,198.84,53.33,89.27,18.22,7.69
141,FED-Dept of Defense,Active,Major-Title V ,9711,White Sands Missile Range,9 mi E of Organ,Organ,Lincoln,NM,88001    ,32.381011,-106.480266,198.84,53.33,89.27,18.22,7.69
141,FED-Dept of Defense,Active,Major-Title V ,9711,White Sands Missile Range,9 mi E of Organ,Organ,Otero,NM,88001    ,32.381011,-106.480266,198.84,53.33,89.27,18.22,7.69
141,FED-Dept of Defense,Active,Major-Title V ,9711,White Sands Missile Range,9 mi E of Organ,Organ,Sierra,NM,88001    ,32.381011,-106.480266,198.84,53.33,89.27,18.22,7.69
141,FED-Dept of Defense,Active,Major-Title V ,9711,White Sands Missile Range,9 mi E of Organ,Organ,Socorro,NM,88001    ,32.381011,-106.480266,198.84,53.33,89.27,18.22,7.69
144,ENRG-Power Plant,Active,Major-Title V ,8221,New Mexico State University Campus,1620 Standley Dr.,Las Cruces,Dona Ana,NM,88003,32.279801,-106.753013,200.6,82.6,11.6,5.0,3.2
148,MUNI-Wastewater,Active,Minor,4952,Jacob A Hands Wastewater Treatment Facility,2851 W Amador,Las Cruces,Dona Ana,NM,88005,32.294258,-106.815542,30.9,35.8,2.4,,
150,FOOD-Processor,Active,Notice of Intent,2099,Rio Valley Chili,.9 miles W of Rincon,Rincon,Dona Ana,NM,87940,32.668481,-107.077311,7.7,6.4,,1.2,
151,CON-Concrete Batch Plant,Active,Synthetic Minor,3273,American Redi-Mix-Concrete Batch Plant GCP5-1995,3 miles W of Las Cruces,Las Cruces,Dona Ana,NM,88007    ,32.303611,-106.808056,95,95,95,4.7,50
152,METAL-Coating,Active,Synthetic Minor,3357,Rea Magnet Wire - Southwest Plant,301 Rea Blvd,Las Cruces,Dona Ana,NM,88007,32.268166,-106.932209,,,57.30,,
154,FOR-Wood Product/Processor,Active,Minor,2653,Georgia Pacific Corrugated - Vista Corrugated Paper Plant,17 Kitty Hawk Blvd,Santa Teresa,Dona Ana,NM,88008,31.865294,-106.694756,20.3,2.8,2.1,13.9,0.6
155,METAL-Metal Fabrication,Active,Notice of Intent,3469,Celco - Santa Teresa,2690 Airport Rd,Santa Teresa,Dona Ana,NM,88008,,,,,9.60,,
156,MFG-Nonmetallic Materials,Active,No Permit Required,0724,BE Harvey Gin Co,430 S Compress Rd,Las Cruces,Dona Ana,NM,88005,,,,,,,
157,CON-Materials,Active,No Permit Required,1442,Daniel S Guillen Inc - Sand and Gravel,1 Mile North of Varo,Las Cruces,Dona Ana,NM,88011,,,,,,,
158,FOOD-Processor,Active,No Permit Required,2099,Vado Vinegar,9860 Highway 478,Vado,Dona Ana,NM,88072,32.131136,-106.674899,,,8.20,,
164,ENRG-Power Plant,Active,Major-Title V ,4911,PNM - Afton Generating Station,10100 West Afton Road #5,La Mesa,Dona Ana,NM,880449311,32.1125,-106.849444,257.9,165.8,76.8,48.2,13.0
167,SOLW-Landfill/Municipal,Active,Major-Title V ,4953,Camino Real Landfill,2 miles SW of Airport,Sunland Park,Dona Ana,NM,88063,31.789408,-106.594775,,,,,
168,FOOD-Processor,Active,Synthetic Minor,1499,Rezolex Ltd Co,03 East Ft. Selden Rd.,Radium Springs,Dona Ana,NM,88054,32.524472,-106.916472,4.1,3.4,24.6,14.6,
169,MFG-Chemical,Active,Notice of Intent,,Precision Plating - Processing No2618,not on file,Santa Fe,Dona Ana,NM,87505,,,,,,,
170,METAL-Metal Fabrication,Active,No Permit Required,,Santa Teresa Metal Stamping Plant,11 Earhardt Way,Santa Teresa,Dona Ana,NM,88008,,,,,,,
175,SOLW-Landfill/Municipal,Active,Major-Title V ,,Corralitos Landfill,12 mi SW of Fairacres,Fairacres,Dona Ana,NM,88033    ,32.240342,-107.030436,,,,,
177,CON-Demolition/Renovation,Active,,1541,Gadsden School District,1325 W.  Washington St,Anthony,Dona Ana,NM,88021,,,,,,,
178,CON-Demolition/Renovation,Active,,1541,L'eggs Products Inc,Hwy 478,Mesilla Park,Dona Ana,NM,88047,,,,,,,
179,CON-Demolition/Renovation,Active,,,La Union Elementary,Route 1 Box 534,Anthony,Dona Ana,NM,88021,,,,,,,
180,CON-Demolition/Renovation,Active,,1541,Las Cruces School District,301 Wamador Ave,Las Cruces,Dona Ana,NM,88003,,,,,,,
182,CON-Demolition/Renovation,Active,,,El Paso Natural Gas - La Mesa,7 miles W La Mesa,La Mesa,Dona Ana,NM,88024,,,,,,,
191,O&G-Gas Plant,Active,Major-Title V ,1321,Durango Midstream - Empire Abo Gas Plant - CS,10 miles E of Artesia,Artesia,Eddy,NM,88210,32.776122,-104.259683,274.3,110.5,319.6,9.3,673.8
194,O&G-Compressor Station,Active,Major-Title V ,4922,Pecos River Compressor Station,11.5 mi SSE of Malaga,Malaga,Eddy,NM,88263,32.063611,-104.018333,697.8,105.0,10.0,,
196,MINING-Mill Facility,Active,Major-Title V ,1474,Mosaic Potash Carlsbad Inc,1361 Potash Mines Road,Carlsbad,Eddy,NM,88220,32.414722,-103.935833,70.0,225.0,6.0,214.3,
197,O&G-Gas Plant,Active,Major-Title V ,1311,OXY - Indian Basin Gas Plant,14.5 mi W of Carlsbad,Carlsbad,Eddy,NM,88220    ,32.463897,-104.574117,363.0,204.4,85.0,12.36,83.0
198,O&G-Refinery,Active,Major-Title V ,2911,HollyFrontier - Artesia Refinery,501 E Main St,Artesia,Eddy,NM,88210,32.842611,-104.395167,737.0,1296.9,1552.2,205.4,377.0
199,O&G-Gas Plant,Active,Major-Title V ,,Artesia Gas Plant,1925 Illinois Camp Road,Artesia,Eddy,NM,88210,32.754972,-104.210028,476.0,535.3,206.4,10.4,
203,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Shadow Booster Station,7 miles S Artesia,Artesia,Eddy,NM,88210,32.739167,-104.387417,65.82,86.86,82.72,1.80,1.86
204,O&G-Compressor Station,Active,Synthetic Minor,4922,Atoka No2 Compressor Station,3.3 miles W of Loco Hills,Artesia,Eddy,NM,88210,32.862887,-104.037115,96.2,84.1,44.8,,
206,O&G-Compressor Station,Active,Minor,4922,Crawford Compressor Station,3 miles SW of Loving,Loving,Eddy,NM,88256,32.263056,-104.147778,28,37.2,11.5,0.6,0.9
207,O&G-Compressor Station,Active,Synthetic Minor,4922,Atoka No1 Compressor Station,10 miles E of Artesia,Artesia,Eddy,NM,88210,32.780311,-104.225921,61.80,94.60,64.44,,
208,MINING-Nonmetallic Mine,Active,Major-Title V ,,Intrepid - East Plant,210 Red Cloud Road,Carlsbad,Eddy,NM,88220,32.505523,-103.782518,160.6,206.5,10.2,169.9,4.1
209,O&G-Compressor Station,Active,Synthetic Minor,,Penroc Compressor Station,7 miles N of Carlsbad,Carlsbad,Eddy,NM,88220,32.5492,-104.2678,46.4,46.4,30.1,1.2,
211,O&G-Gas Plant,Active,Major-Title V ,1311,Lucid Artesia - Dagger Draw Gas Plant,9.2 mi SSW of Artesia,Artesia,Eddy,NM,88210,32.714722,-104.445864,8.0,6.6,22.9,,243.0
214,O&G-Compressor Station,Active,Minor,4922,EOG - Sand Tank Compressor Site,4 miles SSE Loco Hills,Loco Hills,Eddy,NM,88255,32.769723,-104.003958,15.6,23.3,20.0,,
218,O&G-Compressor Station,Active,Major-Title V ,1311,Enterprise - South Carlsbad Compressor Station,2.8 miles NW of Loving,Loving,Eddy,NM,88256,32.315428,-104.136542,237.8,169.4,175.0,7.2,33.8
220,O&G-Compressor Station,Active,Major-Title V ,4922,Washington Ranch Storage Facility,9.1 mi SW of Whites City,Whites City,Eddy,NM,88268,32.081312,-104.484221,243.2,243.5,206.9,,5.41
224,O&G-Compressor Station,Active,No Permit Required,4922,BV No2 Compressor Station,15 miles NE US 82,Artesia,Eddy,NM,88210,33.005961,-104.250715,19,2,1,,
227,O&G-Gas Plant,Active,Minor,1321,DCP - Pecos Diamond Gas Plant,9 miles SE of Artesia,Artesia,Eddy,NM,88210,32.770444,-104.269167,130.7,97.7,205.3,2.9,
230,O&G-Compressor Station,Active,Synthetic Minor,,Winchester Compressor Station,16 miles SE of Artesia,Artesia,Eddy,NM,88210,32.6588,-104.2588,55.2,55.2,37.1,,
237,O&G-Compressor Station,Active,Minor,1311,DCP - South Carlsbad Compressor Station,4 miles S of Carlsbad,Carlsbad,Eddy,NM,88220,32.318424,-104.219254,28.9,28.6,14.0,0.19,0.04
241,O&G-Compressor Station,Active,Synthetic Minor,,Illinois Camp Booster Station,11.5 mi SE of Artesia,Artesia,Eddy,NM,88210,32.782997,-104.222694,86.9,86.9,12.6,2.2,
242,O&G-Compressor Station,Active,Synthetic Minor,,Shugart Booster Station,6 miles S of Maljamar,Maljamar,Eddy,NM,88264,32.756944,-103.815556,93.0,99.6,55.5,2.0,4.9
243,O&G-Compressor Station,Active,No Permit Required,4922,Levers Federal Compressor Station,Not on file,Carlsbad,Eddy,NM,882200000,32.519483,-104.361241,,,,,
250,O&G-Compressor Station,Active,No Permit Required,4922,Revelation Compressor Station,10 miles W of Carlsbad,Carlsbad,Eddy,NM,882200000,32.393406,-104.404655,24.00,2.00,,,
251,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Burton Flats Compressor Station,1 mile NE Carlsbad,Carlsbad,Eddy,NM,88220,32.509129,-104.137774,89.0,89.0,63,,
252,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Grayburg Booster Station,2.5 miles NW of Loco Hills,Loco Hills,Eddy,NM,88255,32.83654,-104.012827,95.1,93.7,75.7,12.5,91.0
255,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Dagger Draw Compressor Station,19 miles SW of Artesia,Artesia,Eddy,NM,88211,32.613056,-104.533611,92.9,94.1,47.3,2.3,1.7
257,O&G-Compressor Station,Active,No Permit Required,4922,DD Federal Compressor Station,22 NW Carlsbad,Carlsbad,Eddy,NM,88220,32.637576,-104.552282,19.00,2.00,,,7.00
258,O&G-Compressor Station,Active,No Permit Required,4922,Cotton Draw Well No64 Compressor,38 miles SE Carlsbad,Carlsbad,Eddy,NM,88220,32.15397,-103.738211,24,3,1,,
259,O&G-Compressor Station,Active,No Permit Required,4922,Smith Federal No1 Compressor Station,18 miles W of Carlsbad,Carlsbad,Eddy,NM,88220,32.403004,-104.542811,24,4,1.00,,10
260,O&G-Compressor Station,Active,Synthetic Minor,4922,Durango Midstream - Cedar Lake Compressor Station,8 miles SW of Maljamar,Maljamar,Eddy,NM,88264,32.71047,-103.827518,17.40,26.05,8.70,,
261,O&G-Compressor Station,Active,Synthetic Minor,,DCP - Parkway Booster Station,13 miles SE of Loco Hills,Loco Hills,Eddy,NM,88255,32.715683,-103.855275,96.2,87.8,66.4,1.5,
